HISTORY_RCRD_ID,LAYER_RCRD_ID,HISTORY_ID,SILV_BASE_CD,START_YEAR,END_YEAR,LAYER_PCT 
197077,335,1,,,,
197078,336,1,,,,
197079,338,1,,,,
197081,339,1,,,,
197082,340,1,,,,
197083,342,1,,,,
197084,343,1,,,,
197085,344,1,,,,
197086,345,1,,,,
197087,346,1,,,,
197088,347,1,,,,
197089,348,1,,,,
197090,349,1,,,,
197091,351,1,,,,
197092,352,1,,,,
197093,353,1,,,,
197094,354,1,,,,
197095,355,1,,,,
197096,356,1,,,,
197097,357,1,,,,
197098,358,1,,,,
197099,359,1,,,,
197100,360,1,,,,
197101,361,1,,,,
197102,362,1,,,,
197103,363,1,,,,
197104,364,1,,,,
197105,365,1,,,,
197106,366,1,,,,
197107,368,1,,,,
197108,369,1,,,,
197109,370,1,,,,
197110,371,1,,,,
197111,372,1,,,,
197112,373,1,,,,
197113,374,1,,,,
197114,375,1,,,,
197115,376,1,,,,
197116,377,1,,,,
197117,378,1,,,,
197118,379,1,,,,
197119,380,1,,,,
197120,381,1,,,,
197121,382,1,,,,
197122,383,1,,,,
197123,384,1,,,,
197124,385,1,,,,
197125,386,1,,,,
197126,387,1,,,,
197127,388,1,,,,
197128,390,1,,,,
197129,391,1,,,,
197130,392,1,,,,
197131,393,1,,,,
197132,394,1,,,,
197133,395,1,,,,
197134,396,1,,,,
197136,397,1,,,,
197137,398,1,,,,
197138,399,1,,,,
197139,400,1,,,,
197140,401,1,,,,
197141,402,1,,,,
197142,403,1,,,,
197143,404,1,,,,
197144,405,1,,,,
197145,406,1,,,,
197146,407,1,,,,
197147,408,1,,,,
197148,409,1,,,,
197149,410,1,,,,
197150,411,1,,,,
197151,412,1,,,,
197152,413,1,,,,
197153,414,1,,,,
197154,415,1,,,,
197155,417,1,,,,
197156,418,1,,,,
197157,419,1,,,,
197158,421,1,,,,
197159,422,1,,,,
197160,423,1,,,,
197161,424,1,,,,
197162,425,1,,,,
197163,427,1,,,,
197164,428,1,,,,
197165,429,1,,,,
197166,430,1,,,,
197167,432,1,,,,
197168,433,1,,,,
197169,434,1,,,,
197170,435,1,,,,
197171,436,1,,,,
197172,437,1,,,,
197173,438,1,,,,
197174,439,1,,,,
197176,440,1,,,,
197177,441,1,,,,
197178,442,1,,,,
197179,443,1,,,,
197180,444,1,,,,
197181,445,1,,,,
197182,446,1,,,,
197183,447,1,,,,
197184,448,1,,,,
197185,449,1,,,,
197186,450,1,,,,
197187,452,1,,,,
197188,453,1,,,,
197189,454,1,,,,
197190,455,1,,,,
197191,456,1,,,,
197192,458,1,,,,
197193,460,1,,,,
197194,461,1,,,,
197195,462,1,,,,
197196,463,1,,,,
197197,464,1,,,,
197198,465,1,,,,
197199,466,1,,,,
197200,467,1,,,,
197201,468,1,,,,
197202,469,1,,,,
197203,470,1,,,,
197204,471,1,,,,
197205,472,1,,,,
197206,473,1,,,,
197207,474,1,,,,
197208,475,1,,,,
197209,476,1,,,,
197210,477,1,,,,
197211,478,1,,,,
197212,479,1,,,,
197213,481,1,,,,
197214,482,1,,,,
197215,483,1,,,,
197216,484,1,,,,
