LAYER_RCRD_ID,POLYGON_RCRD_ID,LAYER_ID,VDYP7_LAYER_ID,RANK_CODE,NON_FOREST_DESC,MEAS_UTIL_LEVEL,CC,BA,TPH,EST_SI_SPCS,EST_SI 
367,197107,"1",,,,7.500000,5.000000,2.000000,25.000000,,
368,197107,"2",,"1",,7.500000,50.000000,3.000000,900.000000,,
369,197108,"1",,"1",,7.500000,60.000000,20.000000,1250.000000,,
370,197109,"1",,"1",,7.500000,60.000000,5.000000,1400.000000,,
371,197110,"1",,"1",,7.500000,60.000000,25.000000,1400.000000,,
372,197111,"1",,"1",,7.500000,40.000000,5.000000,450.000000,,
373,197112,"1",,"1",,7.500000,50.000000,40.000000,1500.000000,,
374,197113,"1",,"1",,7.500000,50.000000,10.000000,1000.000000,,
375,197114,"1",,"1",,7.500000,30.000000,2.000000,500.000000,,
376,197115,"1",,"1",,7.500000,55.000000,15.000000,1000.000000,,
377,197116,"1",,"1",,7.500000,70.000000,20.000000,1600.000000,,
378,197117,"1",,"1",,7.500000,40.000000,15.000000,600.000000,,
379,197118,"1",,"1",,7.500000,50.000000,15.000000,800.000000,,
380,197119,"1",,"1",,7.500000,5.000000,0.000000,75.000000,,
381,197120,"1",,"1",,7.500000,5.000000,0.000000,50.000000,,
382,197121,"1",,"1",,7.500000,70.000000,40.000000,1600.000000,,
383,197122,"1",,"1",,7.500000,20.000000,5.000000,500.000000,,
384,197123,"1",,"1",,7.500000,50.000000,25.000000,1000.000000,,
385,197124,"1",,"1",,7.500000,50.000000,10.000000,750.000000,,
386,197125,"1",,"1",,7.500000,70.000000,25.000000,1600.000000,,
387,197126,"1",,"1",,7.500000,30.000000,2.000000,250.000000,,
388,197127,"1",,"1",,7.500000,20.000000,5.000000,200.000000,,
389,197127,"2",,,,7.500000,30.000000,5.000000,800.000000,,
390,197128,"1",,"1",,7.500000,40.000000,10.000000,1000.000000,,
