POLYGON_RCRD_ID,INVENTORY_STANDARD,MEASUREMENT_YEAR,FIZ,BEC_ZONE,PCT_STOCKABLE,NON_PROD_DESC,YIELD_FACTOR 
197111,"V",1997,,"AT",,,
197112,"V",1997,,"AT",,,
197113,"V",1997,,"AT",,,
197114,"V",1997,,"AT",,,
197115,"V",1997,,"AT",,,
197116,"V",1997,,"AT",,,
197117,"V",1997,,"AT",,,
197118,"V",1997,,"AT",,,
197119,"V",1997,,"AT",,,
197120,"V",1997,,"AT",,,
197121,"V",1997,,"AT",,,
197122,"V",1997,,"AT",,,
197123,"V",1997,,"AT",,,
197124,"V",1997,,"AT",,,
197125,"V",1997,,"AT",,,
197126,"V",1997,,"AT",,,
197127,"V",1997,,"AT",,,
197128,"V",1997,,"AT",,,
197129,"V",1997,,"AT",,,
197130,"V",1997,,"AT",,,
197131,"V",1997,,"AT",,,
197132,"V",1997,,"AT",,,
197133,"V",1997,,"AT",,,
197134,"V",1997,,"AT",,,
197136,"V",1997,,"AT",,,
197137,"V",1997,,"AT",,,
197138,"V",1997,,"AT",,,
197139,"V",1997,,"AT",,,
197140,"V",1997,,"AT",,,
197141,"V",1997,,"AT",,,
197142,"V",1997,,"AT",,,
197143,"V",1997,,"AT",,,
197144,"V",1997,,"AT",,,
197145,"V",1997,,"AT",,,
197146,"V",1997,,"AT",,,
197147,"V",1997,,"AT",,,
197148,"V",1997,,"AT",,,
197149,"V",1997,,"AT",,,
197150,"V",1997,,"AT",,,
197151,"V",1997,,"AT",,,
197152,"V",1997,,"AT",,,
197153,"V",1997,,"AT",,,
197154,"V",1997,,"AT",,,
197155,"V",1997,,"AT",,,
197156,"V",1997,,"AT",,,
197157,"V",1997,,"AT",,,
197158,"V",1997,,"AT",,,
197159,"V",1997,,"AT",,,
197160,"V",1997,,"AT",,,
197161,"V",1997,,"AT",,,
197162,"V",1997,,"AT",,,
197163,"V",1997,,"AT",,,
197164,"V",1997,,"AT",,,
197165,"V",1997,,"AT",,,
197166,"V",1997,,"AT",,,
197167,"V",1997,,"AT",,,
197168,"V",1997,,"AT",,,
197169,"V",1997,,"AT",,,
197170,"V",1997,,"AT",,,
197171,"V",1997,,"AT",,,
197172,"V",1997,,"AT",,,
197173,"V",1997,,"AT",,,
197174,"V",1997,,"AT",,,
197176,"V",1997,,"AT",,,
197177,"V",1997,,"AT",,,
197178,"V",1997,,"AT",,,
197179,"V",1997,,"AT",,,
197180,"V",1997,,"AT",,,
197181,"V",1997,,"AT",,,
197182,"V",1997,,"AT",,,
197183,"V",1997,,"AT",,,
197184,"V",1997,,"AT",,,
197185,"V",1997,,"AT",,,
197186,"V",1997,,"AT",,,
197187,"V",1997,,"AT",,,
197188,"V",1997,,"AT",,,
197189,"V",1997,,"AT",,,
197190,"V",1997,,"AT",,,
197191,"V",1997,,"AT",,,
197192,"V",1997,,"AT",,,
197193,"V",1997,,"AT",,,
197194,"V",1997,,"AT",,,
197195,"V",1997,,"AT",,,
197196,"V",1997,,"AT",,,
197197,"V",1997,,"AT",,,
197198,"V",1997,,"AT",,,
197199,"V",1997,,"AT",,,
197200,"V",1997,,"AT",,,
197201,"V",1997,,"AT",,,
197202,"V",1997,,"AT",,,
197203,"V",1997,,"AT",,,
197204,"V",1997,,"AT",,,
197205,"V",1997,,"AT",,,
197206,"V",1997,,"AT",,,
197207,"V",1997,,"AT",,,
197208,"V",1997,,"AT",,,
197209,"V",1997,,"AT",,,
197210,"V",1997,,"AT",,,
197211,"V",1997,,"AT",,,
197212,"V",1997,,"AT",,,
197213,"V",1997,,"AT",,,
197214,"V",1997,,"AT",,,
197215,"V",1997,,"AT",,,
197216,"V",1997,,"AT",,,
197217,"V",1997,,"AT",,,
197218,"V",1997,,"AT",,,
197219,"V",1997,,"AT",,,
197221,"V",1997,,"AT",,,
197222,"V",1997,,"AT",,,
197223,"V",1997,,"AT",,,
197224,"V",1997,,"AT",,,
197225,"V",1997,,"AT",,,
197226,"V",1997,,"AT",,,
197227,"V",1997,,"AT",,,
