POLYGON_RCRD_ID,OTHER_VEG_ID,LAND_COVER_CD,LAND_COVER_PCT 
196907,3,"BR",0.000
196908,1,"SH",5.000
196908,2,"HE",25.000
196908,3,"BR",5.000
196909,1,"SH",10.000
196909,2,"HE",40.000
196909,3,"BR",0.000
196910,1,"SH",5.000
196910,2,"HE",40.000
196910,3,"BR",5.000
196911,1,"SH",5.000
196911,2,"HE",30.000
196911,3,"BR",0.000
196912,2,"HE",10.000
196912,3,"BR",0.000
196913,1,"SH",5.000
196913,2,"HE",20.000
196913,3,"BR",0.000
196914,1,"SH",5.000
196914,2,"HE",15.000
196914,3,"BR",10.000
196915,1,"SH",45.000
196915,2,"HE",35.000
196915,3,"BR",0.000
196916,2,"HE",5.000
196916,3,"BR",0.000
196917,1,"SH",5.000
196917,2,"HE",20.000
196917,3,"BR",0.000
196918,1,"SH",5.000
196918,2,"HE",15.000
196918,3,"BR",0.000
196919,1,"SH",10.000
196919,2,"HE",40.000
196919,3,"BR",5.000
196920,1,"SH",5.000
196920,2,"HE",15.000
196920,3,"BR",0.000
196921,2,"HE",10.000
196921,3,"BR",0.000
196922,1,"SH",5.000
196922,2,"HE",50.000
196922,3,"BR",0.000
196923,1,"SH",5.000
196923,2,"HE",25.000
196923,3,"BR",0.000
196924,1,"SH",5.000
196924,2,"HE",15.000
196924,3,"BR",0.000
196925,2,"HE",10.000
196925,3,"BR",0.000
196926,1,"SH",5.000
196926,2,"HE",10.000
196926,3,"BR",0.000
196927,1,"SH",35.000
196927,2,"HE",20.000
196927,3,"BR",3.000
196928,1,"SH",5.000
196928,2,"HE",20.000
196928,3,"BR",0.000
196929,1,"SH",5.000
196929,2,"HE",30.000
196929,3,"BR",0.000
196930,1,"SH",5.000
196930,2,"HE",45.000
196930,3,"BR",5.000
196931,1,"SH",5.000
196931,2,"HE",45.000
196931,3,"BR",5.000
196932,1,"SH",5.000
196932,2,"HE",15.000
196932,3,"BR",0.000
196933,1,"SH",5.000
196933,2,"HE",30.000
196933,3,"BR",20.000
196934,1,"SH",5.000
196934,2,"HE",20.000
196934,3,"BR",0.000
196935,1,"SH",5.000
196935,2,"HE",15.000
196935,3,"BR",0.000
196936,1,"SH",10.000
196936,2,"HE",50.000
196936,3,"BR",5.000
196937,1,"SH",15.000
196937,2,"HE",35.000
196937,3,"BR",0.000
196938,1,"SH",10.000
196938,2,"HE",25.000
196938,3,"BR",0.000
196939,1,"SH",15.000
196939,2,"HE",15.000
196939,3,"BR",0.000
196940,1,"SH",5.000
196940,2,"HE",35.000
196940,3,"BR",10.000
196941,1,"SH",5.000
196941,2,"HE",5.000
196941,3,"BR",0.000
196942,1,"SH",10.000
196942,2,"HE",30.000
196942,3,"BR",0.000
196943,1,"SH",5.000
196943,2,"HE",10.000
196943,3,"BR",0.000
196944,1,"SH",5.000
196944,2,"HE",15.000
196944,3,"BR",0.000
196945,2,"HE",15.000
196945,3,"BR",0.000
196946,2,"HE",35.000
196946,3,"BR",0.000
196947,1,"SH",20.000
196947,2,"HE",10.000
196947,3,"BR",0.000
196948,2,"HE",10.000
196948,3,"BR",0.000
196949,2,"HE",10.000
196949,3,"BR",0.000
196950,1,"SH",5.000
196950,2,"HE",10.000
196950,3,"BR",0.000
196951,1,"SH",5.000
196951,2,"HE",50.000
196951,3,"BR",0.000
196952,1,"SH",5.000
196952,2,"HE",15.000
196952,3,"BR",10.000
196953,1,"SH",5.000
196953,2,"HE",15.000
196953,3,"BR",0.000
196954,1,"SH",5.000
196954,2,"HE",15.000
196954,3,"BR",0.000
196955,1,"SH",5.000
196955,3,"BR",0.000
196956,1,"SH",5.000
196956,2,"HE",20.000
196956,3,"BR",0.000
196957,1,"SH",5.000
196957,2,"HE",20.000
196957,3,"BR",0.000
196958,1,"SH",5.000
196958,2,"HE",15.000
196958,3,"BR",10.000
196959,1,"SH",5.000
196959,2,"HE",20.000
196959,3,"BR",0.000
196960,2,"HE",10.000
196960,3,"BR",0.000
196961,2,"HE",5.000
196961,3,"BR",0.000
196962,1,"SH",5.000
196962,2,"HE",10.000
196962,3,"BR",0.000
196963,2,"HE",10.000
196963,3,"BR",0.000
196964,2,"HE",10.000
196964,3,"BR",0.000
196965,1,"SH",5.000
196965,2,"HE",35.000
196965,3,"BR",5.000
196966,2,"HE",5.000
196966,3,"BR",0.000
196967,1,"SH",20.000
196967,2,"HE",50.000
196967,3,"BR",5.000
196968,1,"SH",5.000
196968,2,"HE",15.000
196968,3,"BR",0.000
196969,1,"SH",40.000
196969,2,"HE",30.000
196969,3,"BR",0.000
196970,1,"SH",5.000
196970,2,"HE",20.000
196970,3,"BR",0.000
196972,1,"SH",5.000
196972,2,"HE",10.000
196972,3,"BR",0.000
196973,3,"BR",0.000
196974,1,"SH",10.000
196974,2,"HE",60.000
196974,3,"BR",0.000
196975,1,"SH",10.000
196975,2,"HE",20.000
196975,3,"BR",0.000
196976,1,"SH",5.000
196976,2,"HE",15.000
196976,3,"BR",10.000
196977,1,"SH",5.000
196977,2,"HE",20.000
196977,3,"BR",20.000
196978,2,"HE",15.000
196978,3,"BR",0.000
196979,1,"SH",20.000
196979,2,"HE",50.000
196979,3,"BR",5.000
196980,2,"HE",10.000
196980,3,"BR",0.000
196981,1,"SH",5.000
196981,2,"HE",25.000
196981,3,"BR",0.000
196982,1,"SH",5.000
196982,2,"HE",15.000
196982,3,"BR",15.000
196983,1,"SH",15.000
196983,2,"HE",50.000
196983,3,"BR",5.000
196984,1,"SH",20.000
196984,2,"HE",20.000
196984,3,"BR",0.000
196985,1,"SH",15.000
196985,2,"HE",15.000
196985,3,"BR",0.000
196986,1,"SH",5.000
196986,2,"HE",15.000
196986,3,"BR",10.000
196987,1,"SH",5.000
196987,2,"HE",10.000
196987,3,"BR",0.000
196988,2,"HE",5.000
196988,3,"BR",0.000
196989,1,"SH",5.000
196989,2,"HE",30.000
196989,3,"BR",0.000
196990,2,"HE",10.000
196990,3,"BR",0.000
196991,2,"HE",5.000
196991,3,"BR",0.000
196992,2,"HE",10.000
196992,3,"BR",0.000
196993,1,"SH",5.000
196993,2,"HE",10.000
196993,3,"BR",0.000
196994,1,"SH",5.000
196994,2,"HE",30.000
196994,3,"BR",5.000
196995,1,"SH",40.000
196995,2,"HE",40.000
196995,3,"BR",5.000
196997,1,"SH",10.000
196997,2,"HE",25.000
196997,3,"BR",0.000
196998,2,"HE",5.000
196998,3,"BR",0.000
196999,1,"SH",5.000
196999,2,"HE",15.000
196999,3,"BR",0.000
197000,1,"SH",5.000
197000,2,"HE",15.000
197000,3,"BR",0.000
197001,1,"SH",5.000
197001,2,"HE",15.000
197001,3,"BR",0.000
197002,2,"HE",10.000
197002,3,"BR",0.000
197003,1,"SH",5.000
197003,2,"HE",15.000
197003,3,"BR",0.000
197004,2,"HE",5.000
197004,3,"BR",0.000
197005,1,"SH",5.000
197005,2,"HE",40.000
197005,3,"BR",0.000
197006,2,"HE",10.000
197006,3,"BR",0.000
197007,1,"SH",5.000
197007,2,"HE",15.000
197007,3,"BR",0.000
197008,1,"SH",5.000
197008,2,"HE",10.000
197008,3,"BR",0.000
197009,2,"HE",10.000
197009,3,"BR",0.000
197010,1,"SH",5.000
197010,2,"HE",20.000
197010,3,"BR",0.000
197011,1,"SH",5.000
197011,2,"HE",15.000
197011,3,"BR",0.000
197012,2,"HE",10.000
197012,3,"BR",0.000
197013,2,"HE",5.000
197013,3,"BR",0.000
197014,1,"SH",10.000
197014,2,"HE",50.000
197014,3,"BR",5.000
197015,1,"SH",20.000
197015,2,"HE",40.000
197015,3,"BR",0.000
197016,1,"SH",5.000
197016,2,"HE",15.000
197016,3,"BR",0.000
197017,1,"SH",5.000
197017,2,"HE",20.000
197017,3,"BR",0.000
197018,2,"HE",10.000
197018,3,"BR",0.000
197019,1,"SH",60.000
197019,2,"HE",15.000
197019,3,"BR",0.000
197020,1,"SH",5.000
197020,2,"HE",10.000
197020,3,"BR",0.000
197021,2,"HE",10.000
197021,3,"BR",0.000
197022,2,"HE",10.000
197022,3,"BR",0.000
197023,1,"SH",25.000
197023,2,"HE",60.000
197023,3,"BR",0.000
197024,1,"SH",5.000
197024,2,"HE",10.000
197024,3,"BR",0.000
197025,1,"SH",5.000
197025,2,"HE",15.000
197025,3,"BR",0.000
197026,1,"SH",5.000
197026,2,"HE",25.000
197026,3,"BR",0.000
197027,1,"SH",5.000
197027,2,"HE",10.000
197027,3,"BR",0.000
197029,2,"HE",15.000
197029,3,"BR",0.000
197030,2,"HE",10.000
197030,3,"BR",0.000
197031,1,"SH",5.000
197031,2,"HE",25.000
197031,3,"BR",0.000
197032,2,"HE",5.000
197032,3,"BR",0.000
197033,2,"HE",10.000
197033,3,"BR",0.000
197034,1,"SH",10.000
197034,2,"HE",40.000
197034,3,"BR",0.000
197035,1,"SH",5.000
197035,2,"HE",20.000
197035,3,"BR",0.000
197036,1,"SH",5.000
197036,2,"HE",25.000
197036,3,"BR",0.000
197037,1,"SH",20.000
197037,2,"HE",25.000
197037,3,"BR",0.000
197038,1,"SH",10.000
197038,2,"HE",30.000
197038,3,"BR",0.000
197039,1,"SH",15.000
197039,2,"HE",40.000
197039,3,"BR",0.000
197040,2,"HE",10.000
197040,3,"BR",0.000
197042,1,"SH",5.000
197042,2,"HE",40.000
197042,3,"BR",0.000
197043,2,"HE",10.000
197043,3,"BR",0.000
197044,1,"SH",5.000
197044,2,"HE",5.000
197044,3,"BR",0.000
197045,2,"HE",15.000
197045,3,"BR",0.000
197046,1,"SH",15.000
197046,2,"HE",35.000
197046,3,"BR",10.000
197047,1,"SH",15.000
197047,2,"HE",50.000
197047,3,"BR",10.000
197049,1,"SH",5.000
197049,2,"HE",50.000
197049,3,"BR",5.000
197050,1,"SH",5.000
197050,2,"HE",10.000
197050,3,"BR",0.000
197051,1,"SH",5.000
197051,2,"HE",15.000
197051,3,"BR",5.000
197052,2,"HE",10.000
197052,3,"BR",0.000
197053,2,"HE",5.000
197053,3,"BR",0.000
197054,1,"SH",10.000
197054,2,"HE",45.000
197054,3,"BR",0.000
197055,2,"HE",10.000
197055,3,"BR",0.000
197056,1,"SH",5.000
197056,2,"HE",15.000
197056,3,"BR",10.000
197057,1,"SH",5.000
197057,2,"HE",25.000
197057,3,"BR",10.000
197058,1,"SH",5.000
197058,2,"HE",20.000
197058,3,"BR",0.000
197060,1,"SH",15.000
197060,2,"HE",60.000
197060,3,"BR",5.000
197061,1,"SH",5.000
197061,2,"HE",35.000
197061,3,"BR",10.000
197062,1,"SH",5.000
197062,2,"HE",10.000
197062,3,"BR",0.000
197063,1,"SH",10.000
197063,2,"HE",20.000
197063,3,"BR",0.000
197064,1,"SH",5.000
197064,2,"HE",15.000
197064,3,"BR",0.000
197065,1,"SH",5.000
197065,2,"HE",20.000
197065,3,"BR",0.000
197066,1,"SH",5.000
197066,2,"HE",50.000
197066,3,"BR",0.000
197067,2,"HE",10.000
197067,3,"BR",0.000
197068,1,"SH",10.000
197068,2,"HE",25.000
197068,3,"BR",0.000
197069,1,"SH",5.000
197069,2,"HE",20.000
197069,3,"BR",0.000
197070,1,"SH",5.000
197070,2,"HE",20.000
197070,3,"BR",0.000
197071,1,"SH",20.000
197071,2,"HE",45.000
197071,3,"BR",5.000
197072,1,"SH",10.000
