POLYGON_RCRD_ID,NON_VEG_ID,NON_VEG_COVER_TYPE,NON_VEG_COVER_PCT 
197456,1,"TA",20.000
197456,2,"ES",15.000
197457,1,"BR",15.000
197457,2,"ES",5.000
197458,1,"UR",20.000
197458,2,"RZ",15.000
197459,1,"ES",2.000
197460,1,"ES",5.000
197462,1,"ES",10.000
197464,1,"ES",5.000
197465,1,"TA",20.000
197465,2,"BR",10.000
197466,1,"ES",5.000
197467,1,"ES",10.000
197467,2,"BR",5.000
197468,1,"BR",5.000
197469,1,"ES",10.000
197470,1,"ES",10.000
197471,1,"ES",5.000
197472,1,"BR",20.000
197472,2,"TA",10.000
197474,1,"ES",20.000
197477,1,"ES",15.000
197479,1,"ES",2.000
197480,1,"ES",5.000
197481,1,"BR",20.000
197481,2,"TA",10.000
197482,1,"ES",5.000
197484,1,"ES",10.000
197485,1,"BR",15.000
197485,2,"ES",5.000
197486,1,"BR",30.000
197486,2,"TA",10.000
197486,3,"ES",10.000
197487,1,"ES",15.000
197488,1,"ES",5.000
197491,1,"ES",5.000
197495,1,"ES",5.000
197497,1,"BR",40.000
197498,1,"ES",5.000
197498,2,"RI",5.000
197499,1,"ES",15.000
197499,2,"TA",2.000
197501,1,"ES",10.000
197501,2,"BR",5.000
197502,1,"ES",10.000
197502,2,"BR",5.000
197503,1,"ES",10.000
197504,1,"ES",5.000
197956,1,"RZ",5.000
197961,1,"ES",10.000
197961,2,"RZ",5.000
197963,1,"ES",3.000
197968,1,"ES",5.000
197972,1,"ES",13.000
197975,1,"ES",5.000
197976,1,"ES",5.000
197996,1,"BR",20.000
197999,1,"ES",10.000
197999,2,"RZ",2.000
198000,1,"ES",7.000
198000,2,"RZ",3.000
198003,1,"ES",20.000
198015,1,"ES",8.000
198022,1,"ES",10.000
198022,2,"RZ",2.000
198034,1,"ES",10.000
198035,1,"ES",25.000
198035,2,"BR",10.000
198035,3,"TA",8.000
198037,1,"ES",13.000
198044,1,"ES",10.000
198046,1,"LA",10.000
198046,2,"LS",5.000
198047,1,"BR",50.000
198047,2,"TA",10.000
198054,1,"BR",30.000
198054,2,"TA",10.000
198062,1,"ES",5.000
198065,1,"ES",5.000
198068,1,"ES",10.000
198072,1,"ES",5.000
198077,1,"BR",50.000
198077,2,"TA",5.000
198078,1,"ES",5.000
198081,1,"ES",15.000
198087,1,"ES",5.000
198092,1,"ES",15.000
198092,2,"BR",5.000
198093,1,"ES",25.000
198095,1,"ES",10.000
198097,1,"ES",5.000
198098,1,"ES",10.000
198102,1,"ES",5.000
198103,1,"ES",5.000
198104,1,"BR",50.000
198104,2,"TA",5.000
198109,1,"ES",5.000
198149,1,"BR",15.000
198149,2,"TA",15.000
198150,1,"RI",5.000
198150,2,"RS",2.000
198151,1,"ES",10.000
198156,1,"ES",10.000
198165,1,"ES",5.000
198166,1,"ES",20.000
198171,1,"RZ",10.000
198174,1,"ES",5.000
198175,1,"ES",5.000
198175,2,"RZ",2.000
198177,1,"ES",25.000
198185,1,"ES",10.000
198197,1,"ES",10.000
198200,1,"CB",10.000
198200,2,"ES",5.000
198201,1,"ES",10.000
198203,1,"ES",5.000
198217,1,"RZ",10.000
198217,2,"ES",5.000
198218,1,"RZ",10.000
198219,1,"ES",15.000
198228,1,"ES",2.000
198230,1,"ES",5.000
198234,1,"ES",5.000
198237,1,"RZ",5.000
198238,1,"BR",20.000
198248,1,"ES",20.000
198251,1,"RZ",5.000
198260,1,"TA",15.000
198266,1,"LL",5.000
198266,2,"ES",5.000
198267,1,"ES",20.000
198269,1,"BR",10.000
198276,1,"RZ",5.000
198277,1,"ES",15.000
198279,1,"BR",15.000
198282,1,"ES",5.000
198290,1,"RZ",10.000
198295,1,"RZ",5.000
198296,1,"ES",10.000
198297,1,"RZ",5.000
198297,2,"ES",2.000
198300,1,"ES",5.000
198304,1,"RZ",10.000
198304,2,"ES",10.000
198304,3,"UR",3.000
198306,1,"ES",5.000
198309,1,"ES",10.000
198314,1,"ES",10.000
198320,1,"ES",10.000
198322,1,"ES",15.000
198326,1,"ES",5.000
198328,1,"ES",11.000
198330,1,"ES",10.000
198341,1,"ES",2.000
198345,1,"ES",5.000
198348,1,"ES",10.000
198352,1,"RZ",15.000
198352,2,"ES",5.000
198353,1,"ES",5.000
198356,1,"ES",5.000
198357,1,"ES",5.000
198361,1,"ES",5.000
198368,1,"RZ",2.000
198372,1,"ES",10.000
198380,1,"ES",5.000
198386,1,"ES",5.000
198398,1,"ES",5.000
198398,2,"RZ",2.000
198404,1,"ES",10.000
198409,1,"ES",5.000
198410,1,"ES",20.000
198410,2,"RZ",5.000
198420,1,"ES",10.000
198420,2,"RZ",5.000
198421,1,"ES",20.000
198422,1,"ES",10.000
198423,1,"ES",15.000
198432,1,"ES",13.000
198437,1,"ES",20.000
198441,1,"BR",50.000
198441,2,"TA",5.000
198446,1,"RZ",20.000
198446,2,"ES",10.000
198452,1,"RZ",10.000
198455,1,"ES",50.000
198456,1,"ES",5.000
198459,1,"BR",2.000
198462,1,"ES",5.000
198463,1,"ES",5.000
198467,1,"BR",25.000
198467,2,"ES",5.000
198473,1,"ES",5.000
198477,1,"ES",15.000
198480,1,"ES",2.000
198481,1,"TA",10.000
198481,2,"ES",10.000
198481,3,"BR",10.000
198492,1,"BR",10.000
198495,1,"ES",30.000
198495,2,"BR",10.000
198495,3,"TA",10.000
198512,1,"ES",5.000
198519,1,"ES",5.000
198523,1,"ES",10.000
198528,1,"ES",10.000
198537,1,"CB",5.000
198540,1,"ES",5.000
198542,1,"RZ",2.000
198544,1,"ES",10.000
198546,1,"CB",5.000
198546,2,"ES",5.000
198559,1,"RZ",5.000
198559,2,"ES",5.000
198574,1,"ES",40.000
198579,1,"ES",5.000
198579,2,"CB",5.000
198580,1,"ES",20.000
198580,2,"TA",5.000
198588,1,"CB",5.000
198609,1,"RZ",5.000
198612,1,"ES",40.000
198614,1,"ES",20.000
198614,2,"BR",10.000
198614,3,"TA",5.000
198621,1,"ES",10.000
198626,1,"ES",20.000
198626,2,"BR",10.000
198627,1,"BR",40.000
198642,1,"RZ",10.000
198642,2,"ES",5.000
198645,1,"CB",20.000
198652,1,"RZ",2.000
198659,1,"ES",15.000
198664,1,"ES",8.000
198666,1,"ES",5.000
198666,2,"RI",5.000
198680,1,"ES",5.000
198687,1,"ES",10.000
198690,1,"ES",3.000
198690,2,"RZ",2.000
198695,1,"ES",10.000
198695,2,"BR",10.000
198696,1,"RZ",10.000
198702,1,"ES",10.000
198710,1,"ES",5.000
198716,1,"RZ",10.000
198716,2,"ES",9.000
198724,1,"ES",35.000
198724,2,"BR",5.000
198725,1,"ES",5.000
198746,1,"ES",20.000
198746,2,"BR",10.000
198751,1,"RZ",5.000
198752,1,"ES",5.000
198752,2,"RZ",2.000
198760,1,"ES",20.000
198761,1,"ES",10.000
198771,1,"RZ",5.000
198771,2,"RI",5.000
198773,1,"ES",10.000
198773,2,"CB",5.000
198775,1,"CB",20.000
198778,1,"ES",5.000
198785,1,"ES",10.000
198795,1,"ES",10.000
198796,1,"ES",5.000
198797,1,"ES",5.000
198798,1,"ES",5.000
198801,1,"ES",5.000
198803,1,"ES",10.000
198807,1,"ES",10.000
198807,2,"BR",5.000
198813,1,"ES",5.000
198815,1,"ES",5.000
198820,1,"BR",50.000
198820,2,"TA",5.000
198822,1,"CB",10.000
198822,2,"ES",5.000
198825,1,"ES",5.000
198825,2,"RI",5.000
198833,1,"RZ",5.000
198844,1,"ES",12.000
198845,1,"LL",10.000
198845,2,"RZ",5.000
198854,1,"RZ",2.000
198854,2,"ES",3.000
198856,1,"ES",5.000
198856,2,"RZ",2.000
198857,1,"CB",15.000
198857,2,"RZ",3.000
198857,3,"ES",5.000
198868,1,"ES",20.000
198879,1,"ES",15.000
198889,1,"ES",10.000
198889,2,"RZ",2.000
198894,1,"ES",15.000
198894,2,"TA",2.000
198902,1,"RI",3.000
198904,1,"ES",5.000
